tags,p0_conflict,p0_bad_output,bad_output,total,both_bad_output,model_size,model,response_type,prompt_type
Misconception,42,0,0,102,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P2
Stereotype,28,0,0,122,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P2
Conspiracy,97,0,0,263,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P3
Controversy,59,0,0,173,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P3
Fact,40,0,0,142,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P3
Fiction,36,0,0,83,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P3
Misconception,43,0,0,102,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P3
Stereotype,70,0,0,122,0,small,meta-llama--Llama-2-7b-hf,4_options/option_probs,P3
Conspiracy,3,0,0,263,0,small,mistralai--Mistral-7B-v0.1,2_options,P1
Controversy,13,0,0,173,0,small,mistralai--Mistral-7B-v0.1,2_options,P1
Fact,13,0,0,142,0,small,mistralai--Mistral-7B-v0.1,2_options,P1
Fiction,3,0,0,83,0,small,mistralai--Mistral-7B-v0.1,2_options,P1
Misconception,5,0,0,102,0,small,mistralai--Mistral-7B-v0.1,2_options,P1
Stereotype,1,0,0,122,0,small,mistralai--Mistral-7B-v0.1,2_options,P1
Conspiracy,7,0,0,263,0,small,mistralai--Mistral-7B-v0.1,2_options,P2
Controversy,16,0,0,173,0,small,mistralai--Mistral-7B-v0.1,2_options,P2
Fact,18,0,0,142,0,small,mistralai--Mistral-7B-v0.1,2_options,P2
Fiction,3,0,0,83,0,small,mistralai--Mistral-7B-v0.1,2_options,P2
Misconception,9,0,0,102,0,small,mistralai--Mistral-7B-v0.1,2_options,P2
Stereotype,1,0,0,122,0,small,mistralai--Mistral-7B-v0.1,2_options,P2
Conspiracy,5,0,0,263,0,small,mistralai--Mistral-7B-v0.1,2_options,P3
Controversy,13,0,0,173,0,small,mistralai--Mistral-7B-v0.1,2_options,P3
Fact,18,0,0,142,0,small,mistralai--Mistral-7B-v0.1,2_options,P3
Fiction,2,0,0,83,0,small,mistralai--Mistral-7B-v0.1,2_options,P3
Misconception,8,0,0,102,0,small,mistralai--Mistral-7B-v0.1,2_options,P3
Stereotype,1,0,0,122,0,small,mistralai--Mistral-7B-v0.1,2_options,P3
Conspiracy,7,0,0,263,0,small,mistralai--Mistral-7B-v0.1,3_options,P1
Controversy,22,0,0,173,0,small,mistralai--Mistral-7B-v0.1,3_options,P1
Fact,17,0,0,142,0,small,mistralai--Mistral-7B-v0.1,3_options,P1
Fiction,5,0,0,83,0,small,mistralai--Mistral-7B-v0.1,3_options,P1
Misconception,6,0,0,102,0,small,mistralai--Mistral-7B-v0.1,3_options,P1
Stereotype,16,0,0,122,0,small,mistralai--Mistral-7B-v0.1,3_options,P1
Conspiracy,48,0,0,263,0,small,mistralai--Mistral-7B-v0.1,3_options,P2
Controversy,44,0,0,173,0,small,mistralai--Mistral-7B-v0.1,3_options,P2
Fact,34,0,0,142,0,small,mistralai--Mistral-7B-v0.1,3_options,P2
Fiction,11,0,0,83,0,small,mistralai--Mistral-7B-v0.1,3_options,P2
Misconception,22,0,0,102,0,small,mistralai--Mistral-7B-v0.1,3_options,P2
Stereotype,30,0,0,122,0,small,mistralai--Mistral-7B-v0.1,3_options,P2
Conspiracy,43,0,0,263,0,small,mistralai--Mistral-7B-v0.1,3_options,P3
Controversy,33,0,0,173,0,small,mistralai--Mistral-7B-v0.1,3_options,P3
Fact,22,0,0,142,0,small,mistralai--Mistral-7B-v0.1,3_options,P3
Fiction,4,0,0,83,0,small,mistralai--Mistral-7B-v0.1,3_options,P3
Misconception,17,0,0,102,0,small,mistralai--Mistral-7B-v0.1,3_options,P3
Stereotype,23,0,0,122,0,small,mistralai--Mistral-7B-v0.1,3_options,P3
Conspiracy,4,0,1,263,0,small,mistralai--Mistral-7B-v0.1,4_options,P1
Controversy,8,1,1,173,1,small,mistralai--Mistral-7B-v0.1,4_options,P1
Fact,13,0,0,142,0,small,mistralai--Mistral-7B-v0.1,4_options,P1
Fiction,2,0,0,83,0,small,mistralai--Mistral-7B-v0.1,4_options,P1
Misconception,1,0,1,102,0,small,mistralai--Mistral-7B-v0.1,4_options,P1
Stereotype,4,0,0,122,0,small,mistralai--Mistral-7B-v0.1,4_options,P1
Conspiracy,25,0,13,263,0,small,mistralai--Mistral-7B-v0.1,4_options,P2
Controversy,28,1,19,173,1,small,mistralai--Mistral-7B-v0.1,4_options,P2
Fact,32,0,13,142,0,small,mistralai--Mistral-7B-v0.1,4_options,P2
Fiction,12,0,11,83,0,small,mistralai--Mistral-7B-v0.1,4_options,P2
Misconception,2,0,2,102,0,small,mistralai--Mistral-7B-v0.1,4_options,P2
Stereotype,10,0,3,122,0,small,mistralai--Mistral-7B-v0.1,4_options,P2
Conspiracy,13,0,1,263,0,small,mistralai--Mistral-7B-v0.1,4_options,P3
Controversy,11,1,1,173,1,small,mistralai--Mistral-7B-v0.1,4_options,P3
Fact,25,0,1,142,0,small,mistralai--Mistral-7B-v0.1,4_options,P3
Fiction,2,0,0,83,0,small,mistralai--Mistral-7B-v0.1,4_options,P3
Misconception,2,0,1,102,0,small,mistralai--Mistral-7B-v0.1,4_options,P3
Stereotype,6,0,0,122,0,small,mistralai--Mistral-7B-v0.1,4_options,P3
Conspiracy,3,0,0,263,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P1
Controversy,9,0,0,173,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P1
Fact,13,0,0,142,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P1
Fiction,2,0,0,83,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P1
Misconception,0,0,0,102,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P1
Stereotype,4,0,0,122,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P1
Conspiracy,15,0,0,263,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P2
Controversy,14,0,0,173,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P2
Fact,26,0,0,142,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P2
Fiction,2,0,0,83,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P2
Misconception,0,0,0,102,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P2
Stereotype,7,0,0,122,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P2
Conspiracy,12,0,0,263,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P3
Controversy,12,0,0,173,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P3
Fact,25,0,0,142,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P3
Fiction,2,0,0,83,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P3
Misconception,1,0,0,102,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P3
Stereotype,6,0,0,122,0,small,mistralai--Mistral-7B-v0.1,4_options/option_probs,P3
Conspiracy,0,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,2_options,P1
Controversy,0,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,2_options,P1
Fact,0,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,2_options,P1
Fiction,0,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,2_options,P1
Misconception,0,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,2_options,P1
Stereotype,0,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,2_options,P1
Conspiracy,0,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,2_options,P2
Controversy,0,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,2_options,P2
Fact,0,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,2_options,P2
Fiction,0,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,2_options,P2
Misconception,0,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,2_options,P2
Stereotype,0,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,2_options,P2
Conspiracy,0,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,2_options,P3
Controversy,0,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,2_options,P3
Fact,0,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,2_options,P3
Fiction,0,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,2_options,P3
Misconception,0,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,2_options,P3
Stereotype,0,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,2_options,P3
Conspiracy,0,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,3_options,P1
Controversy,0,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,3_options,P1
Fact,0,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,3_options,P1
Fiction,0,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,3_options,P1
Misconception,0,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,3_options,P1
Stereotype,0,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,3_options,P1
Conspiracy,0,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,3_options,P2
Controversy,0,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,3_options,P2
Fact,0,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,3_options,P2
Fiction,0,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,3_options,P2
Misconception,0,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,3_options,P2
Stereotype,0,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,3_options,P2
Conspiracy,0,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,3_options,P3
Controversy,0,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,3_options,P3
Fact,0,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,3_options,P3
Fiction,0,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,3_options,P3
Misconception,0,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,3_options,P3
Stereotype,0,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,3_options,P3
Conspiracy,0,263,263,263,263,small,EleutherAI--gpt-neo-2.7B,4_options,P1
Controversy,0,173,173,173,173,small,EleutherAI--gpt-neo-2.7B,4_options,P1
Fact,0,142,142,142,142,small,EleutherAI--gpt-neo-2.7B,4_options,P1
Fiction,0,83,83,83,83,small,EleutherAI--gpt-neo-2.7B,4_options,P1
Misconception,0,102,102,102,102,small,EleutherAI--gpt-neo-2.7B,4_options,P1
Stereotype,0,122,122,122,122,small,EleutherAI--gpt-neo-2.7B,4_options,P1
Conspiracy,0,263,263,263,263,small,EleutherAI--gpt-neo-2.7B,4_options,P2
Controversy,0,173,173,173,173,small,EleutherAI--gpt-neo-2.7B,4_options,P2
Fact,0,142,142,142,142,small,EleutherAI--gpt-neo-2.7B,4_options,P2
Fiction,0,83,83,83,83,small,EleutherAI--gpt-neo-2.7B,4_options,P2
Misconception,0,102,102,102,102,small,EleutherAI--gpt-neo-2.7B,4_options,P2
Stereotype,0,122,122,122,122,small,EleutherAI--gpt-neo-2.7B,4_options,P2
Conspiracy,0,263,263,263,263,small,EleutherAI--gpt-neo-2.7B,4_options,P3
Controversy,0,173,173,173,173,small,EleutherAI--gpt-neo-2.7B,4_options,P3
Fact,0,142,142,142,142,small,EleutherAI--gpt-neo-2.7B,4_options,P3
Fiction,0,83,83,83,83,small,EleutherAI--gpt-neo-2.7B,4_options,P3
Misconception,0,102,102,102,102,small,EleutherAI--gpt-neo-2.7B,4_options,P3
Stereotype,0,122,122,122,122,small,EleutherAI--gpt-neo-2.7B,4_options,P3
Conspiracy,6,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P1
Controversy,2,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P1
Fact,7,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P1
Fiction,0,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P1
Misconception,2,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P1
Stereotype,0,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P1
Conspiracy,18,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P2
Controversy,5,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P2
Fact,13,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P2
Fiction,1,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P2
Misconception,10,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P2
Stereotype,1,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P2
Conspiracy,20,0,0,263,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P3
Controversy,6,0,0,173,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P3
Fact,15,0,0,142,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P3
Fiction,1,0,0,83,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P3
Misconception,13,0,0,102,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P3
Stereotype,1,0,0,122,0,small,EleutherAI--gpt-neo-2.7B,4_options/option_probs,P3
Conspiracy,7,9,8,263,6,small,PygmalionAI--pygmalion-6b,2_options,P1
Controversy,6,6,7,173,5,small,PygmalionAI--pygmalion-6b,2_options,P1
Fact,2,4,5,142,4,small,PygmalionAI--pygmalion-6b,2_options,P1
Fiction,6,5,9,83,4,small,PygmalionAI--pygmalion-6b,2_options,P1
Misconception,8,7,7,102,5,small,PygmalionAI--pygmalion-6b,2_options,P1
Stereotype,5,13,16,122,12,small,PygmalionAI--pygmalion-6b,2_options,P1
Conspiracy,15,9,9,263,2,small,PygmalionAI--pygmalion-6b,2_options,P2
Controversy,18,6,17,173,3,small,PygmalionAI--pygmalion-6b,2_options,P2
Fact,6,4,1,142,0,small,PygmalionAI--pygmalion-6b,2_options,P2
Fiction,6,5,5,83,3,small,PygmalionAI--pygmalion-6b,2_options,P2
Misconception,16,7,8,102,1,small,PygmalionAI--pygmalion-6b,2_options,P2
Stereotype,17,13,26,122,13,small,PygmalionAI--pygmalion-6b,2_options,P2
Conspiracy,8,9,4,263,3,small,PygmalionAI--pygmalion-6b,2_options,P3
Controversy,9,6,8,173,3,small,PygmalionAI--pygmalion-6b,2_options,P3
Fact,5,4,0,142,0,small,PygmalionAI--pygmalion-6b,2_options,P3
Fiction,9,5,8,83,3,small,PygmalionAI--pygmalion-6b,2_options,P3
Misconception,10,7,4,102,2,small,PygmalionAI--pygmalion-6b,2_options,P3
Stereotype,15,13,22,122,11,small,PygmalionAI--pygmalion-6b,2_options,P3
Conspiracy,41,9,11,263,9,small,PygmalionAI--pygmalion-6b,3_options,P1
Controversy,41,12,12,173,7,small,PygmalionAI--pygmalion-6b,3_options,P1
Fact,30,6,8,142,4,small,PygmalionAI--pygmalion-6b,3_options,P1
Fiction,18,3,2,83,2,small,PygmalionAI--pygmalion-6b,3_options,P1
Misconception,15,5,7,102,5,small,PygmalionAI--pygmalion-6b,3_options,P1
Stereotype,18,26,26,122,21,small,PygmalionAI--pygmalion-6b,3_options,P1
Conspiracy,90,9,16,263,4,small,PygmalionAI--pygmalion-6b,3_options,P2
Controversy,63,12,18,173,7,small,PygmalionAI--pygmalion-6b,3_options,P2
Fact,38,6,10,142,3,small,PygmalionAI--pygmalion-6b,3_options,P2
Fiction,34,3,3,83,1,small,PygmalionAI--pygmalion-6b,3_options,P2
Misconception,37,5,12,102,2,small,PygmalionAI--pygmalion-6b,3_options,P2
Stereotype,35,26,30,122,18,small,PygmalionAI--pygmalion-6b,3_options,P2
Conspiracy,65,9,12,263,6,small,PygmalionAI--pygmalion-6b,3_options,P3
Controversy,70,12,17,173,4,small,PygmalionAI--pygmalion-6b,3_options,P3
Fact,36,6,7,142,1,small,PygmalionAI--pygmalion-6b,3_options,P3
Fiction,17,3,1,83,1,small,PygmalionAI--pygmalion-6b,3_options,P3
Misconception,34,5,8,102,3,small,PygmalionAI--pygmalion-6b,3_options,P3
Stereotype,66,26,36,122,15,small,PygmalionAI--pygmalion-6b,3_options,P3
Conspiracy,0,263,263,263,263,small,PygmalionAI--pygmalion-6b,4_options,P1
Controversy,0,173,173,173,173,small,PygmalionAI--pygmalion-6b,4_options,P1
Fact,0,142,142,142,142,small,PygmalionAI--pygmalion-6b,4_options,P1
Fiction,0,83,83,83,83,small,PygmalionAI--pygmalion-6b,4_options,P1
Misconception,0,102,102,102,102,small,PygmalionAI--pygmalion-6b,4_options,P1
Stereotype,0,122,122,122,122,small,PygmalionAI--pygmalion-6b,4_options,P1
Conspiracy,0,263,263,263,263,small,PygmalionAI--pygmalion-6b,4_options,P2
Controversy,0,173,173,173,173,small,PygmalionAI--pygmalion-6b,4_options,P2
Fact,0,142,142,142,142,small,PygmalionAI--pygmalion-6b,4_options,P2
Fiction,0,83,83,83,83,small,PygmalionAI--pygmalion-6b,4_options,P2
Misconception,0,102,102,102,102,small,PygmalionAI--pygmalion-6b,4_options,P2
Stereotype,0,122,122,122,122,small,PygmalionAI--pygmalion-6b,4_options,P2
Conspiracy,0,263,263,263,263,small,PygmalionAI--pygmalion-6b,4_options,P3
Controversy,0,173,173,173,173,small,PygmalionAI--pygmalion-6b,4_options,P3
Fact,0,142,142,142,142,small,PygmalionAI--pygmalion-6b,4_options,P3
Fiction,0,83,83,83,83,small,PygmalionAI--pygmalion-6b,4_options,P3
Misconception,0,102,102,102,102,small,PygmalionAI--pygmalion-6b,4_options,P3
Stereotype,0,122,122,122,122,small,PygmalionAI--pygmalion-6b,4_options,P3
Conspiracy,10,0,0,263,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P1
Controversy,5,0,0,173,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P1
Fact,8,0,0,142,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P1
Fiction,4,0,0,83,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P1
Misconception,2,0,0,102,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P1
Stereotype,7,0,0,122,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P1
Conspiracy,13,0,0,263,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P2
Controversy,6,0,0,173,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P2
Fact,10,0,0,142,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P2
Fiction,1,0,0,83,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P2
Misconception,7,0,0,102,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P2
Stereotype,8,0,0,122,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P2
Conspiracy,6,0,0,263,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P3
Controversy,5,0,0,173,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P3
Fact,3,0,0,142,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P3
Fiction,1,0,0,83,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P3
Misconception,3,0,0,102,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P3
Stereotype,6,0,0,122,0,small,PygmalionAI--pygmalion-6b,4_options/option_probs,P3
Conspiracy,0,0,0,263,0,small,openlm-research--open_llama_3b_v2,2_options,P1
Controversy,2,0,0,173,0,small,openlm-research--open_llama_3b_v2,2_options,P1
Fact,5,0,0,142,0,small,openlm-research--open_llama_3b_v2,2_options,P1
Fiction,2,0,0,83,0,small,openlm-research--open_llama_3b_v2,2_options,P1
Misconception,0,0,0,102,0,small,openlm-research--open_llama_3b_v2,2_options,P1
Stereotype,0,0,0,122,0,small,openlm-research--open_llama_3b_v2,2_options,P1
Conspiracy,0,0,0,263,0,small,openlm-research--open_llama_3b_v2,2_options,P2
Controversy,2,0,0,173,0,small,openlm-research--open_llama_3b_v2,2_options,P2
Fact,7,0,0,142,0,small,openlm-research--open_llama_3b_v2,2_options,P2
Fiction,2,0,0,83,0,small,openlm-research--open_llama_3b_v2,2_options,P2
Misconception,1,0,0,102,0,small,openlm-research--open_llama_3b_v2,2_options,P2
Stereotype,0,0,0,122,0,small,openlm-research--open_llama_3b_v2,2_options,P2
Conspiracy,1,0,0,263,0,small,openlm-research--open_llama_3b_v2,2_options,P3
Controversy,3,0,0,173,0,small,openlm-research--open_llama_3b_v2,2_options,P3
Fact,8,0,0,142,0,small,openlm-research--open_llama_3b_v2,2_options,P3
Fiction,2,0,0,83,0,small,openlm-research--open_llama_3b_v2,2_options,P3
Misconception,0,0,0,102,0,small,openlm-research--open_llama_3b_v2,2_options,P3
Stereotype,0,0,0,122,0,small,openlm-research--open_llama_3b_v2,2_options,P3
Conspiracy,58,0,0,263,0,small,openlm-research--open_llama_3b_v2,3_options,P1
Controversy,35,0,0,173,0,small,openlm-research--open_llama_3b_v2,3_options,P1
Fact,16,0,0,142,0,small,openlm-research--open_llama_3b_v2,3_options,P1
Fiction,28,0,0,83,0,small,openlm-research--open_llama_3b_v2,3_options,P1
Misconception,13,0,0,102,0,small,openlm-research--open_llama_3b_v2,3_options,P1
Stereotype,59,0,0,122,0,small,openlm-research--open_llama_3b_v2,3_options,P1
Conspiracy,118,0,0,263,0,small,openlm-research--open_llama_3b_v2,3_options,P2
Controversy,82,0,0,173,0,small,openlm-research--open_llama_3b_v2,3_options,P2
Fact,56,0,0,142,0,small,openlm-research--open_llama_3b_v2,3_options,P2
Fiction,55,0,0,83,0,small,openlm-research--open_llama_3b_v2,3_options,P2
Misconception,39,0,0,102,0,small,openlm-research--open_llama_3b_v2,3_options,P2
Stereotype,81,0,0,122,0,small,openlm-research--open_llama_3b_v2,3_options,P2
Conspiracy,15,0,0,263,0,small,openlm-research--open_llama_3b_v2,3_options,P3
Controversy,15,0,0,173,0,small,openlm-research--open_llama_3b_v2,3_options,P3
Fact,6,0,0,142,0,small,openlm-research--open_llama_3b_v2,3_options,P3
Fiction,17,0,0,83,0,small,openlm-research--open_llama_3b_v2,3_options,P3
Misconception,2,0,0,102,0,small,openlm-research--open_llama_3b_v2,3_options,P3
Stereotype,28,0,0,122,0,small,openlm-research--open_llama_3b_v2,3_options,P3
Conspiracy,0,1,1,263,1,small,openlm-research--open_llama_3b_v2,4_options,P1
Controversy,1,3,4,173,3,small,openlm-research--open_llama_3b_v2,4_options,P1
Fact,1,1,2,142,1,small,openlm-research--open_llama_3b_v2,4_options,P1
Fiction,2,1,1,83,0,small,openlm-research--open_llama_3b_v2,4_options,P1
Misconception,0,1,1,102,1,small,openlm-research--open_llama_3b_v2,4_options,P1
Stereotype,2,1,1,122,0,small,openlm-research--open_llama_3b_v2,4_options,P1
Conspiracy,15,1,16,263,1,small,openlm-research--open_llama_3b_v2,4_options,P2
Controversy,36,3,39,173,3,small,openlm-research--open_llama_3b_v2,4_options,P2
Fact,12,1,13,142,1,small,openlm-research--open_llama_3b_v2,4_options,P2
Fiction,14,1,15,83,1,small,openlm-research--open_llama_3b_v2,4_options,P2
Misconception,16,1,17,102,1,small,openlm-research--open_llama_3b_v2,4_options,P2
Stereotype,31,1,32,122,1,small,openlm-research--open_llama_3b_v2,4_options,P2
Conspiracy,262,1,263,263,1,small,openlm-research--open_llama_3b_v2,4_options,P3
Controversy,170,3,173,173,3,small,openlm-research--open_llama_3b_v2,4_options,P3
Fact,141,1,142,142,1,small,openlm-research--open_llama_3b_v2,4_options,P3
Fiction,82,1,83,83,1,small,openlm-research--open_llama_3b_v2,4_options,P3
Misconception,101,1,102,102,1,small,openlm-research--open_llama_3b_v2,4_options,P3
Stereotype,121,1,122,122,1,small,openlm-research--open_llama_3b_v2,4_options,P3
Conspiracy,0,0,0,263,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P1
Controversy,0,0,0,173,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P1
Fact,0,0,0,142,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P1
Fiction,0,0,0,83,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P1
Misconception,0,0,0,102,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P1
Stereotype,0,0,0,122,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P1
Conspiracy,0,0,0,263,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P2
Controversy,0,0,0,173,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P2
Fact,0,0,0,142,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P2
Fiction,0,0,0,83,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P2
Misconception,0,0,0,102,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P2
Stereotype,0,0,0,122,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P2
Conspiracy,0,0,0,263,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P3
Controversy,0,0,0,173,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P3
Fact,0,0,0,142,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P3
Fiction,0,0,0,83,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P3
Misconception,0,0,0,102,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P3
Stereotype,0,0,0,122,0,small,openlm-research--open_llama_3b_v2,4_options/option_probs,P3
Conspiracy,0,0,0,263,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P1
Controversy,6,0,0,173,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P1
Fact,8,0,0,142,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P1
Fiction,10,0,0,83,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P1
Misconception,1,0,0,102,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P1
Stereotype,0,0,0,122,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P1
Conspiracy,1,0,0,263,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P2
Controversy,14,0,0,173,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P2
Fact,36,0,0,142,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P2
Fiction,10,0,0,83,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P2
Misconception,5,0,0,102,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P2
Stereotype,1,0,0,122,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P2
Conspiracy,1,0,0,263,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P3
Controversy,11,0,0,173,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P3
Fact,17,0,0,142,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P3
Fiction,4,0,0,83,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P3
Misconception,2,0,0,102,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P3
Stereotype,0,0,0,122,0,small,mistralai--Mistral-7B-Instruct-v0.1,2_options,P3
Conspiracy,19,0,0,263,0,small,mistralai--Mistral-7B-Instruct-v0.1,3_options,P1
Controversy,18,0,0,173,0,small,mistralai--Mistral-7B-Instruct-v0.1,3_options,P1
Fact,14,0,0,142,0,small,mistralai--Mistral-7B-Instruct-v0.1,3_options,P1
Fiction,15,0,0,83,0,small,mistralai--Mistral-7B-Instruct-v0.1,3_options,P1
Misconception,22,0,0,102,0,small,mistralai--Mistral-7B-Instruct-v0.1,3_options,P1
